unique_id,normalization
work:W.0231,Dissertation Critique Sur L’iliade
work:W.0232,Dissertation Sur Le Poème Épique Contre La Doctrine De M. D.
work:W.0233,Divina Commedia
work:W.0234,Dizionario Del James
work:W.0235,Domenico Maria
work:W.0236,Don Quixote
work:W.0237,Doña Inés De Castro
work:W.0238,Dr. Tillotson
work:W.0239,Drittes Buch Mose
work:W.0240,Défense De L’astrologie
work:W.0241,Défense Du Gouvernement Patriarchal
work:W.0242,Démophon
work:W.0243,Eclogues
work:W.0244,Ecole Du Monde
work:W.0245,Ecritures Saintes
work:W.0246,Edele De Ponthieu
work:W.0247,"Edgar, Or The English Monarch"
work:W.0248,Edipo
work:W.0249,Edit De Nantes
work:W.0250,Edit De Nîmes
work:W.0251,Edouard And Eleonore
work:W.0252,Efemérides De La Ilustracion De España
work:W.0253,Ekloge
work:W.0254,El Anti-regañón General
work:W.0255,El Apologista Universal
work:W.0256,El Café
work:W.0257,El Califa
work:W.0258,El Castigo De La Miseria
work:W.0259,El Catón Compostelano
work:W.0260,El Censor
work:W.0261,El Charlatán
work:W.0262,El Chismoso
work:W.0263,El Correo De Los Ciegos
work:W.0264,El Correo De Murcia
work:W.0265,El Correo Mercantil De España Y Sus Indias
work:W.0266,El Corresponsal Del Censor
work:W.0267,El Cuerdo Loco
work:W.0268,El Curioso Entretenido
work:W.0269,El Diario De Madrid
work:W.0270,El Discreto
work:W.0271,El Filósofo Á La Moda
work:W.0272,El Gran Verco De Viena
work:W.0273,El Gusto Del Día: Comedia Original En Dos Actos
work:W.0274,El Hechizado Por Fuerza
work:W.0275,El Hipócrita Sentimental
work:W.0276,El Hombre De Tres Caras
work:W.0277,El Juzgado Casero
work:W.0278,El Manolo
work:W.0279,El Marinerito
work:W.0280,El Memorial Literario
work:W.0281,"El Memorial Literario, Instructivo Y Curioso De La Corte De Madrid"
work:W.0282,El Mercurio
work:W.0283,El Mercurio Peruano
work:W.0284,El Olfato De La Noche
work:W.0285,El Pasagonzalo
work:W.0286,El Pensador
work:W.0287,El Regañón De La Havan
work:W.0288,El Regañón General
work:W.0289,El Semanario De Salamanca
work:W.0290,El Traductor
work:W.0291,El Viage Á Grecia
work:W.0292,El Viajante Desconocido
work:W.0293,El Viajero Universal O Noticia Del Mundo Antiguo Y Nuevo
work:W.0294,El Zeloso Confundido
work:W.0295,El Zeloso Y La Tonta
work:W.0296,Elegie
work:W.0297,Elettra
work:W.0298,Elixir Salutis
work:W.0299,Elsevir
work:W.0300,En Esta Vida Todo Es Verdad Y Todo Es Mentira
work:W.0301,Enchiridion Metaphysicum
work:W.0302,Encyclopedia
work:W.0303,"Encyclopédie Ou Dictionnaire Raisonné Des Sciences, Des Arts Et Des Métiers"
work:W.0304,Enea
work:W.0305,Enea Nel Lazio
work:W.0306,Eneide
work:W.0307,"Entretiens Du Diable Borgne, & Du Diable Boiteux"
work:W.0308,"Entretiens Physiques D'ariste Et D'eudoxe, Ou Physique Nouvelle En Dialogues"
work:W.0309,Entretiens Sur La Pluralité Des Mondes
work:W.0310,Ephese
work:W.0311,Epicoene Or The Silent Woman
work:W.0312,Epigramm
work:W.0313,Epigrammaton Libri Duodecim
work:W.0314,Epistles
work:W.0315,"Epistles Xiv, Book I"
work:W.0316,"Epistles, Book I"
work:W.0317,Epistole Poetiche
work:W.0318,Epistulae Ad Familiares
work:W.0319,Epistulae Ex Ponto
work:W.0320,Epistulae Morales
work:W.0321,Epistulae Morales Ad Lucilium
work:W.0322,Epodes
work:W.0323,Ercole Al Bivio
work:W.0324,Esame Di Un Libro Sopra La Maremma Senese
work:W.0325,Esclavos Supuestos
work:W.0326,Esculapio
work:W.0327,Esope À La Cour
work:W.0328,Essai
work:W.0329,Essai Concernant L’entendement Humain
work:W.0330,Essai Philosophique Sur L’entendement Humain
work:W.0331,Essai Sur L'âme Des Bêtes
work:W.0332,Essai Sur L’amélioration Des Terres
work:W.0333,Essai Sur L’histoire Universelle Depuis Charlemagne
work:W.0334,Essais
work:W.0335,"Essais De Morale, Contenus En Divers Traités Sur Plusieurs Devoirs Importans"
work:W.0336,Essais Sur Divers Sujets De Littérature Et De Morale
work:W.0337,Esther
work:W.0338,"Estratto Da’più Celebri Autori Sì Editi Che Inediti, Che Hanno Trattato Della Diversa Coltivazione, Ed Usi Varj Delle Patate"
work:W.0339,Eugénie
work:W.0340,Eunuchus
work:W.0341,Evangelium
work:W.0342,Evangelium Nach Lukas
work:W.0343,Evangile
work:W.0344,Evening Post
work:W.0345,Examen De La Religion
work:W.0346,"Exod., Cap. Xxi, V. 16"
work:W.0347,Fabel
work:W.0348,Faiseurs De Bevûes
work:W.0349,Fanatismo
work:W.0350,Farsaglia
work:W.0351,Favola Delle Tre Melarance
work:W.0352,Favola D’aristeo
work:W.0353,Feüilles Politiques
work:W.0354,Fierabras
work:W.0355,"Filosofia, Ed Amore"
