Titel,Replacement,Typ,Anzahl
His. nat.,,,1
Hist. D’Angleterre,,,1
Hist. Eccles.,,,1
Hist. Romaine,,,1
Hist. de la Guerre des Juifs contre les Romains,,,1
"Hist., lib. VII.",,,1
"Histoire Amoureuse
                                            des Gaules",,,1
Histoire Ecclésiastique,,,1
Histoire Universelle,,,1
Histoire de Carthage,,,1
Histoire de Crête,,,1
Histoire de D. Juan de Portugal,,,1
Histoire de Dannemarc,,,1
Histoire de Saladin,,,1
Histoire de Walstein,,,1
Histoire de la Guerre civile,,,1
"Histoire de la Princesse
                                de Gonsague",,,1
Histoire de l’Academie,,,1
Histoire des Juifs,,,1
Histoire des Ouvrages des Ignorans,,,1
Histoire des Provinces-Unis,,,1
Histoire du Calendrier,,,1
Histoire du Costume,,,1
Histoire d’Angleterre,,,1
"Historia
                                Critica de España",,,1
Historia natural,,,1
Hombre de tres caras,,,1
"Homer, traduit par M. * * *",,,1
Homere vangé,,,1
"Homme
                                Démasqué",,,1
Hora.,,,1
Horace,,,1
Horaces,,,3
Hudibras,,,1
Héraclius,,,1
I. 8. e. I,,,1
Idilio de Gesnero,,,1
Idille,,,1
Idillii,,,1
Idylle,,,1
Ifigenia in Aulide,Iphigenie,,2
Ignez,,,1
Il Dente posticcio.,,,1
Il Quadro d’Imeneo,,,1
Il Tasso Cant.,,,2
Iliad,Iliad,,1
Iliada,Iliad,,2
Iliade,Iliad,,28
Illiada,Iliad,,1
Illiade,Iliad,,4
Imeneo,,,1
"Inf., c. XXVIII.",,,1
"Inf., canto I.",,,1
Inferno,,,1
"Inst., lib. X, e. VII.",,,1
Introduction à l’Histoire,,,1
Inès de Castro,Inès de Castro,,1
Inés,,,4
Inés de Castro,Inès de Castro,,3
Iphigenie,Iphigenie,,1
Iphigénie en Tauride,Iphigenie,,1
Istoria degli uccelli tom. 4. in Firenze 1773,,,1
Istruzione a’Giusdicenti del Granducato di Toscana,,,1
Jazeur,,,1
Jeremías,,,1
Jerusalen,,,2
"Jesu, Lexicon Biblicum",,,1
Joconde,,,1
Joseph,,,1
"Journal
                                Encyclopédique",Journal Encyclopédique,,1
Journal Encyclopédique,Journal Encyclopédique,,1
Journal de Paris,,,1
"Journal des
                                Savans",,,1
Journal des Arts,,,1
Journal des Coulisses,,,1
Jubilé,,,1
Juge de la Campagne,,,1
Jule-César,,,1
Jérusalem délivrée,,,1
Koran,,,1
L. 3. Ode. I. 4,,,1
"LA LUGAREÑA
ORGULLOSA",,,1
LA MOZA DE CÁNTARO,,,1
"La
                                        Andria",,,1
"La
                                        Gazeta",,,1
"La
                                    Bagatelle",La Bagatelle,,1
"La
                                Bagatelle",La Bagatelle,,4
La Bagatelle,La Bagatelle,,2
La Bagatelle ,La Bagatelle,,1
La Bella Mano,,,1
La Bona Mare,,,1
La Casa nuova,,,1
"La Clef des interêts simples & composez, contentant des regles pratiques claires & étendues, pour toutes sortes d’interets, & pour les termes du payement, quels qu’ils puissent être.",,,1
"La Compagnia dei Salvadeghi, o sia i Rusteghi",,,1
La Création,,,1
La Henriade,,,1
La Lugareña orgullosa,,,2
"La Metamorphose des haillons, la Metamorfosi de’Cenci",,,1
La Morte d’Adamo,,,2
La Moza de Cántaro,,,1
La Poetica alla Moda,,,1
La Prude,,,1
La Religion Du Medecin,,,1
La Sagesse de Salomon,,,1
La Serva senza Padrone,,,1
La Spectatrice Danoise ou l’Aspasie moderne,,,1
La fausseté des Vertus Humaines,,,1
La morte di Adamo,La morte d’Adamo,,1
La morte d’Adamo,La morte d’Adamo,,1
"Le
                                Misantrope",,,1
Le Désastre de Lisbonne,,,1
Le Gardien,,,1
Le Jazeur,,,1
Le Lutrin,,,1
Le Misantrope,,,1
Le Monde comme il est,,,1
Le Nouveau Diogene,,,1
Le Nuvole,,,1
Le Renard,,,1
Le Spectateur,,,1
Le Spectateur François,,,1
"Le Spectateur, ou le Socrate moderne",,,1
Le miroir du Gouvernement,,,1
Le vrai Moïen de vivre plus de cent ans dans une santé parfaite,,,1
"Leg. 14, Cod. de Adv.",,,1
Leggío,,,1
"Les
                                Génies assistans & les Gnômes irréconciliables",,,1
Les Charmes de la Solitude,,,1
Les Chiffons,,,1
"Les Coups de patte du Frère Nicolas, par M. L. B. D. B. Première Estafilade",,,1
Les Dialogues à l’imitation de Lucien par M. * * *,,,1
Les Francs-Maçons trahis,,,1
Les Francs-Maçons écrasés,,,1
Les Moyens de prévenir la ruine des Chrétiens,,,1
Les Plaintes des Protestans,,,3
Les Plaisirs innocens de la Vie Rustique,,,1
Les Prophetes Modernes,,,1
