Name in XML,Replacement,Typ
Galicia,,
Galles,,
Gallie,,
Gand,,
Gange,,
Gascogne,,
Gath,,
Gaules,,
Geneve,Genf,Stadt
Genova,Genf,Stadt
Genève,Genf,Stadt
Genéve,Genf,Stadt
Georgie,Georgien,Land
Germania,Deutschland,Land
Germanie,Deutschland,Land
Gerusalemme,Jerusalem,Stadt
Giamaica,Jamaika,Land
Giapone,Japan,Land
Giappone,Japan,Land
Giardino di Kinsington,,
Giblou,,
Ginevra,,
Giorgìa,Georgien,Land
Glascow,Glasgow,Stadt
Glasgow ,Glasgow,Stadt
Glucstat,,
Gnild-hall,,
Goa,,
Goga,,
Golconda,,
Golden Square,,
Golfo di Sanlorenzo,,
Goodman’s fields,,
"Gr.
                                            Bretagne",Bretagne,Region
Gran Brettagna,Bretagne,Region
Granada,Granada,
Grand-Bretagne,Bretagne,Region
"Grande
                                    Bretagne",Bretagne,Region
"Grande
                                Bretagne",Bretagne,Region
Grande Bret.,Bretagne,Region
Grande Bretagne,Bretagne,Region
Grande Brétagne,Bretagne,Region
Grande-Bretagne,Bretagne,Region
Granico,,
Graveline,,
Gravelines,,
Gravesanda,,
Gravesend,,
Grece,Griechenland,Land
Grecia,Griechenland,Land
Grenoble,,
Gresham,,
Griechenland,Griechenland,Land
Groningue,Gröningen,Stadt
Grub-street,,
Grèce,Griechenland,Land
Gréce,Griechenland,Land
Grönland,,Land
Guadeloupe,,
Guatemala,,Land
Gueldre,,
Guiche,,
Guinea,,
Guinée,,
Guyenne,,
Gènes,,
Génes,,
Géorgie,Georgien,Land
Gênes,,
Görlitz,,
Halle,,Stadt
Hambourg,Hamburg,Stadt
Hamburg,Hamburg,Stadt
Hammersmith,,
Hampton-Court,Hamptoncourt,
Hamptoncourt,Hamptoncourt,
Hanau,,Stadt
Hannover,Hannover,Stadt
Hanover,Hannover,Stadt
Hanovre,Hannover,Stadt
Hant,,
Hartfield,,
Hastembeck,,
Havana,Havana,Stadt
Hay Market,Hay Market,
Hay-market,Hay Market,
Haye,,
Haymarket,Hay Market,
Hellespont,,
Helmstädt,,
Hensberg,,
Hereford,,
Hesse,,
Heymarket,Hay Market,
Heßbon,,
Hibernie,,
Hochstet,,
Hogstest,,
Holanda,Holland,Region
Holland,Holland,Region
Hollande,Holland,Region
Hollande-Septentrionale,Holland,Region
Holstein,,
Hongrie,,
Hyde-Park,,
Hymen,,
Hélicon,,
Héraclée,,
Ibarra,,
Ibla,,
Ida,Mont Ida,Berg
Idalie,,
Ile de Fémeren,,
Ile de Laland,,
Ile de Möen,,
Iles Marianes,,
Ilio,,
Ilion,,
Ilisso,,
Ilissus,,
Inde,,
Indes,,
Indes Occidentales,,
Indes Orientales,,
